#,Name,Instruction #1,Instruction #2,Instruction #3,Less Emotion,More Emotion,Happiness Domain,From Feelings (A),North Star (A),Parent Lineage,From Feelings (Final),To Feelings (Final),Specific Lineage,Time Required,Immediate?,Context
112,Summon Inner Wisdom,"Close your eyes, take a deep breath, and bring to mind the situation you are struggling with","Summon your inner wisdom: “While I may not feel equipped to do this, I know that I carry the wisdom I need. May that wisdom come forth when I need it.” ",Give a small bow of thanks to the wisdom within you and open your eyes.,Anger,Gratitude,presence,"Insecure, self_critical, Worried, Stressed, Sad",Empowered,"buddhism,hinduism",insecure,confident,Contemplative traditions,120,Yes,Alone
114,Plan a Solo Expedition,Prepare to go on a playful solo expedition to explore something that interests you.,"Ask yourself, “what sounds fun?”  ",Allow yourself to try it.,Boredom,Excitement,meaning,"Bored, Sad, Stressed, Curious",Wonder,psychology,bored,inspired,"Julia Cameron, The Artist’s Way",3600,No,Alone
115,Drum Your Beat,"The next time you have time to kill, use your hands to drum on your body.","Follow the rhythm that feels intuitive, allowing the beat to change and feeling the resonance of different body parts.","When you stop, feel the tingling energy all over your body.",Boredom,Contentment,body,"Bored, Stressed, Excited, Happy",Attuned,indigenous,bored,joyful,Drumming of all kinds,180,Yes,Alone
116,Draw the Story of Your Life,"Think about your life as a river: smooth parts, sudden turns, obstacles like rocks and rapids.","On a blank sheet of paper, draw the river of your life in as much detail as possible, labeling important events.","When you have finished, reflect on what you have learned about your life from this exercise.",Confusion,Interest,creativity,"self_critical, Frustrated, Bored",Clear,christianity,self_critical,accepting,"Joyce Ann Mercer, Christianity",1200,No,Alone
117,Reframe Your Identity,"The next time you catch yourself being self-critical of an aspect of your embodied identity (race, gender, sexual orientation, ability, etc.), take a pause.",Remember that you live in an extraordinary body. Consider all of the ways that you are supported.,Identify one way in which your identity is beautiful. Recognize that no one in the entire world is quite like you. ,Shame,Compassion,presence,"Insecure, self_critical",Empowered,,insecure,loving,"Tami Lynn Kent, Wild Feminine",60,Yes,Alone
119,Lay on the Floor,Find a quiet spot where nobody will bother you for a few minutes.,Lay down with your back on the ground.,Breathe deeply and look at the ceiling/sky. ,Anxiety,Awe,meaning,"Stressed, Worried, Sad",Surrender,buddhism,worried,content,Decentering self in worship,30,Yes,Alone
120,Read a Poem,Find a quiet spot where you can read in peace.,"Choose a poem to read. If you need a suggestion, go to the Poetry Foundation’s Poem of the Day to find one.","Read it through. It doesn’t matter if it doesn’t make sense, just notice the feeling of these words. When you’ve finished, read it through again.",Anxiety,Contentment,creativity,"Stressed, Sad, Inspired",Tranquil,christianity,stressed,present,Liturgical reading,180,Yes,Alone
121,Dance to a Favorite Song,Choose a favorite song that you can dance to.,Turn it up as loud as you can stand - either through headphones or out loud.,"Move your body, dialing up the level of commitment to your dancing as the song goes on! ",Anxiety,Joy,creativity,"Stressed, Worried, Bored, Happy, Excited",Energized,indigenous,bored,joyful,Ecstatic dance,180,No,Alone
122,Nurture a Garden,"Find some green space to garden in. Perhaps your own garden, a window box, or public garden where you can volunteer.","Find a discrete task - weeding a bed, watering plants, potting - and get to work.",Notice your quality of presence being outside and tending for the plants. How do you feel after your gardening? What has changed?,Anxiety,Contentment,nature,"Stressed, Worried, Bored",Gentle,,worried,loving,,1800,No,Alone
123,Imagine a Favorite place,Think of a place that you know well that you loved spending time in.,Imagine yourself walking around the place. Notice details that you remember.,Find one particular spot where you can rest a while in your mind’s eye.,Sadness,Love,emotions,"Sad, Tired, Stressed, Relaxed",Rejuvenated,,tired,content,,120,Yes,Alone
124,Compare Two Quotes,"Find two quotes. You might already know and love them, or they might be totally new to you.",Read the two quotes individually. What do they make you think of? What do they make you feel?,"Now, read them together, as if they belong to a single text. What do you notice this time? Is there a new meaning that emerges from the quotes? Do they inform one another to reveal something different?",Sadness,Interest,creativity,"Bored, Curious, Inspired",Perspective,christianity,bored,inspired,Florileggia,120,Yes,Alone
125,Offer a Blessing for your Food,"Before taking a bite, think of all the people who contributed to this food being possible.",Try and actively send goodwill to each of them.,"Take your first bite, full of gratitude.",Anxiety,Gratitude,meaning,Loving,Altruistic,,loving,grateful,Blessings across traditions,30,Yes,"Alone, Together"
126,Send Love to Others,"Consciously bring to mind someone, or a group of people, who are suffering.",Cultivate all your loving compassion and direct it actively to them.,"Repeat a few times, bringing to mind those in pain and sending them your loving compassion.",Sadness,Compassion,emotions,Loving,Altruistic,buddhism,loving,compassionate,Prayer,30,Yes,Alone
127,Move your Body Through Yoga Poses,"Stand with your feet apart and turn your right foot out 90 degrees, so your toes are pointing away from your body.",Pivot your left foot inwards at a 45-degree angle and reach up strongly through your arms.,Gently tilt your head back and gaze up at your thumbs. Keep your shoulders dropped away from your ears. Feel your shoulder blades pressing firmly inward. Try to hold this pose for 30 seconds.,Anxiety,Contentment,body,"Stressed, Worried, Insecure",Alive,yoga,stressed,balanced,Yoga,240,Yes,Alone
128,Focus on a Color,Choose a line of sight and try not to move your head.,Choose a single color that you can see within your line of sight. ,Now notice how this color shows up in other places within the same line of sight.,Anxiety,Interest,emotions,"Bored, Curious, Inspired",Present,,curious,present,,60,Yes,Alone
129,Appreciate a Flower,Go to a florist’s and walk around.,"Allow yourself to be drawn to a single blossom. Either stand in front of it, or buy it if you can.",Look closely at the blossom. Appreciate its incredible complexity and intricate beauty.,Anxiety,Awe,nature,"Bored, Curious, Inspired",Savoring,indigenous,curious,in awe,Nature worship,1800,No,Alone
130,Write a Letter to Your Future Self,"Find a pen, paper, and envelope.","Write a letter to your future self, reminding your future self of things to remember or pay attention to.","Put the letter in a safe place that you won’t immediately access again, but that can still be found.",Sadness,Compassion,creativity,"Bored, Hopeful, Inspired, Motivated",Hopeful,,bored,inspired,Prophecy,240,No,Alone
132,Look Into Your Own Eyes,Sit or stand in front of a mirror.,Look yourself in the eyes. ,"If your eyes are the gateway to the soul, what do you notice about how you’re feeling now?",Sadness,Compassion,emotions,"Insecure, self_critical",Present,,curious,accepting,,60,No,Alone
133,Have a Conversation With Yourself ,Sit or stand in front of a mirror.,Say out loud some words of encouragement. “I know you’re really trying” or “You did fantastic today!” ,Notice the waves of self-compassion. Allow yourself to feel the warmth and thank yourself for these kind words.,Sadness,Compassion,emotions,"Insecure, self_critical",Present,,self_critical,accepting,,120,No,Alone
134,Create Your Own Superhero Alter Ego,Think of a decision you need to make or an action you need to take that you’ve been avoiding.,Imagine yourself suiting up as a superhero who has no fear or limitations. How might your superhero self show up to this challenge?,"Do your best to embody the qualities of your superhero self. When you bump up against doubt or fear, remember how it feels to suit up. ",Anxiety,Compassion,presence,"Insecure, self_critical",Powerful,christianity,insecure,confident,Catholic Saints,60,Yes,Alone
135,Engage Others Around Injustices,"When hearing about an injustice on the news, or seeing something yourself, find 2-3 people to talk about it with.",Share with them what this injustice makes you feel. Why does it matter?,"Invite them to join you in some action: joining a march or protest, writing a letter to an elected representative, or giving money to a supportive organization.",Anger,Compassion,relationships,"Sad, Frustrated, Worried",Whole,,frustrated,inspired,Community mobilization,1800,No,Together
136,Choose to Surrender,"When you’re in a situation that is unpleasant and you can’t get out of it, notice all the elements that are painful or frustrating.","Then, make the conscious choice to stop resisting. Allow yourself to surrender fully to the situation.",You might simply be present to the difficulty of the situation. Or perhaps you can now see new elements of the experience that are not wholly bad. ,Pain,Contentment,presence,"Frustrated, Worried, Stressed",Relief,christianity,frustrated,accepting,Christian tradition of grace,30,Yes,Alone
137,Make Instrumental Music,"Sit down at, or pick up, your instrument. Take a breath.",Start to play. Not to perform or to impress. Just allow yourself to have the music flow through your body.,"When you feel like stopping, see if you can stretch and play just a little longer. Notice how it feels to hear the music. ",Anxiety,Contentment,creativity,"Bored, Happy, Relaxed, Inspired, Motivated",Creative,,inspired,motivated,Sacred music of all traditions,1800,No,Alone
138,Repeat Words of Wisdom,"When suffering, rather than avoiding the pain you feel, gently allowing yourself to be with the pain.","Say to yourself, “The root of suffering is the avoidance of suffering”. Repeat it at least four or five times.",Notice that you can be with your suffering. Remember that avoiding it will not make it go away. The only way is through.,Pain,Contentment,emotions,"Stressed, Worried, Frustrated, Sad, Lonely",Courage,,sad,accepting,Sacred text recitation,30,Yes,Alone
139,Light an Incense,Choose an incense stick to burn and a safe place to leave it out.,Light a match and start to burn the incense.,Take deep breaths of the rich aroma. Notice your shoulders relax and your body generally ease.,Anxiety,Contentment,body,"Stressed, Worried, Sad",Cognizant,"buddhism,christianity",stressed,content,Tibetan Buddhist and Anglican worship,60,No,Alone
140,Walk Aimlessly,"Take yourself to a new neighborhood, or if traveling, walk around a city without a purposeful destination.","Allow yourself to wonder, following your intuition about which roads to turn into and which to pass by.",Notice how different it is to wander aimlessly. Enjoy the adventure and serendipity!  ,Anxiety,Awe,creativity,"Stressed, Worried, Sad",Free,"buddhism,christianity,hinduism",worried,joyful,Itinerant preaching and perigrination,3000,No,Alone
141,Love One Person,"The next person you encounter in your day, set aside a few minutes for a conversation","Ask them questions that help you get to know them better, such as “What’s something interesting that has happened to you recently?”",Focus your attention while together on what you love about them,Anxiety,Love,relationships,"self_critical, Lonely, Sad, Loving",Adoration,,lonely,connected,-,300+,No,Together
142,Write Letter Without Sending,Think of someone who has irritated and angered you,Write a letter to them detailing everything that has angered you. The more detail the better!,"Take the finished letter, put it in an envelope and dispose of it.",Anger,Contentment,relationships,"Frustrated, Sad",Clarity,,frustrated,forgiving,-,1200,Yes,Alone
143,Practice a Break-up Ritual,"Lay in quietness, maybe before sleep. With your back towards the ground, along the mattress or floor or couch. Imagine the people who have walked this path long, long before you, and imagine them pouring their compassion and understanding upon you. ",Count your breath as you inhale and let the air fill your body. Let the reality of where you are permeate you.,Release the lump in your throat.  Repeat these words into the abyss over and over and over. “Forgive me.” “I forgive you.”  “Thank you.” “I love you.”,Sadness,Love,relationships,"Frustrated, Sad",Renewed,christianity,frustrated,forgiving,Rev. Dr. Chris Davies,2400,No,Alone
144,Give a Dollar,"Before leaving the house, take a dollar from your wallet and put it in your pocket","When you encounter someone in need, give them a dollar.",Look the person in the eyes and say a few genuine words. It can be as simple as “Good morning” or “God bless.”,Sadness,Compassion,relationships,"Happy, Inspired, Loving",Altruistic,,inspired,compassionate,Seth Godin,60,No,Together
145,Introduce Yourself,Introduce yourself by name,Ask for the other person’s name,"Smile, and ask “Tell me something you’re passionate about at the moment!” ",Anxiety,Compassion,relationships,Curious,Interested,,curious,connected,,20,Yes,Together
146,Text Someone You Love,Call to mind a person you love.,Reflect on what makes them special to you. ,Text the person you’re thinking of to tell them how much you value them as part of your life.,Sadness,Love,relationships,"Lonely, Loving",Wholesome,,loving,connected,,30,Yes,Alone
147,Share a Virtual Meal,Schedule a time with a loved one to share a virtual meal. Remember time zones!,Agree what to eat together - maybe a favorite shared meal or a simple soup.,"Set up the call and start eating at the same time, catching up and sharing stories as you eat.",Anxiety,Love,relationships,"Lonely, Loving",Together,,loving,connected,,900,No,Together (digitally)
148,Bake Cookies,Bake cookies - a simple chocolate chip is a good choice. Gluten free options are a bonus!,Ring the doorbell of neighbors.,"Say hello, offer some cookies, and say you wanted to meet your neighbors and ask if there’s anything you can do to help.",Anxiety,Compassion,relationships,"Lonely, Curious, Loving, Excited",Grounded,,loving,connected,,1800,No,Together (do in a pair for safety)
149,Massage,Have your partner sit on a chair and invite them to take a deep breath.,"Standing behind them, gently knead their shoulders and neck. Ask them what feels good and continue with that.","Swap over, each massaging for 10-12 minutes.",Anxiety,Contentment,relationships,"Stressed, Worried, Tired, Loving",Grounded,,stressed,connected,,900,No,Together
150,Leave and Return,"Find a small token which can be separated into two; a piece of string, a slip of paper, a flower petal.","Hold the object in your hands together, then cut/tear it in two.",Take one half of the token and keep it in your pocket. Leave the other at home. Unite them when you return.,Anxiety,Contentment,meaning,"Sad, Lonely, Hopeful, Loving",Closeness,,sad,loving,,120,No,Together
151,Fast for One Day,"On a day when you’re able, forego all meals until sundown","When hungry, notice what you feel and think. Remember the millions of others who are hungry in this moment.","At the end of the day, commit to one action that will help others who experience hunger daily.",Contentment,Compassion,body,"Inspired, Motivated",Altruistic,islam,inspired,compassionate,Ramadan,Day-long,Yes,"Alone, Together"
152,Wear the Same Color,"Choose one or a group of people to invite to wear the same color on a specific day (your birthday, a new job, a Friday.)",Take a selfie of your outfit and text it to the group.,"Wait to receive their selfies, and enjoy!",Boredom,Excitement,relationships,"Lonely, Insecure, Happy, Excited, Inspired",Playful,christianity,lonely,joyful,Anglican liturgical vestments,Day-long,No,Together (digitally)
153,Listen to a Wise Story,Think of someone older than you who you can easily ask a question of.,Ask them to tell a story from their life that has shaped their life.,"Listen intently, noticing themes that might connect with your own life right now. Thank the storyteller for their wisdom story.",Confusion,Interest,relationships,"Worried, Stressed, Inspired, Curious",Wise,,curious,inspired,Elders of all kinds,1800,Yes,Together
154,Go On a Grocery Run,"Think of someone who is struggling. Maybe through grief, depression or anxiety.",Text them to say you’re going to the grocery store and ask if you can pick them up anything.,Buy their requested items and drop off to their house with a hug. There’s no need to stay long once you’ve handed over the items.,Sadness,Compassion,relationships,"Bored, Loving",Generous,,loving,compassionate,,3600,Yes,Alone
155,Pay It Forward,"The next time you are buying coffee or similar, make a decision to buy for the next person in line.","When you place your order, tell the barista you will buy for the person behind you. ",See the look on their face when they realize.,Sadness,Compassion,relationships,Loving,Generous,,loving,connected,,120,No,Together
156,Open My Heart,"The next time you are upset with someone, breathe in and think: Open my heart.","As you breathe out, wonder how you might open your heart to this person.",Take your next action from an open-hearted place.,Anger,Compassion,emotions,"Frustrated, Worried, Stressed, self_critical, Insecure",Open,,frustrated,loving,New age,60,Yes,Alone
157,Laugh On Someone’s Belly,"With their consent, you and your friends lie on your backs, each one with your head on another one’s belly.","Take turns saying “ha,” feeling your head bounce on your friend’s belly when they say it.","Once you are all cracking up, feel the vibration of your shared laughter.",Anxiety,Amusement,relationships,"Sad, Stressed, Happy",Mirthful,,lonely,joyful,,180,No,Together
158,Share State of Heart,Sit in a circle with people you live or work with.,Give each person a chance to share for a few minutes about the state of their heart -- how they are feeling -- and the order of the house -- what practical matters are top of mind.,Let this sharing inform the way you live or work together.,Anxiety,Compassion,relationships,"Lonely, Sad, Bored, Curious",Clear-headed,christianity,worried,connected,Sisters of St. Joseph,600,No,Together
159,Throw a Ball of Love,"In a group, stand facing one person and summon all the love you feel for them.","Together, count to three out loud.","On three, everyone throws that person an invisible ball of love and says, “Whoosh!”",Sadness,Love,relationships,"Happy, Loving",Full-hearted,,lonely,loving,Tom Choquette,300,Yes,Together
160,Love More,"When you find yourself with an opportunity to be of service to someone, think about what you would usually do in this instance.","Then ask yourself, how could I be even more loving?","Make a bet with yourself that this time, you will do the even more loving thing.",Sadness,Compassion,relationships,"Happy, Loving, Excited, Motivated",Willing,,loving,compassionate,,120,Yes,Alone
161,Gaze Into Someone’s Eyes,"Sit comfortably, facing a partner, and set a timer for at least two minutes.","Gaze into the eyes of your partner, blinking as-needed but not looking away.","Afterward, talk about the experience with your partner.",Anxiety,Love,relationships,Loving,Peaceful,,curious,loving,Various traditions,180,Yes,Together
162,Catch Up With a Friend,Carve out a luxurious amount of time to be with an old friend.,"Choose a few categories of life (work, family, love life, etc.) for each person to share updates that have happened since the last time you saw each other.",Take turns sharing and listening for each category.,Anxiety,Compassion,relationships,"Bored, Curious",Social,,curious,connected,,Day-long,No,Together
163,Consider Life As a Rose,"At the end of the day or week, choose a person or small group with whom you can reflect with.","Take turns sharing a rose (highlight), thorn (lowlight), and bud (something you’re looking forward to) from your day or week.","Consider how you might celebrate accomplishments, soothe rough spots, and/or support each other’s goals.",Anxiety,Compassion,relationships,"Stressed, Worried, Frustrated, Sad, Hopeful",Excitement,,worried,accepting,,300,Yes,Together
164,Share a Soul Story,Gather one or more people who you want to know at a deeper level.,"Share the story of the significant events, people and places that have informed your sense of spirituality.",Listen as each other person does the same.,Sadness,Compassion,relationships,"Inspired, Curious",Grounded,christianity,curious,in awe,Christian Testimony,1200,No,Together
165,Share a Love Language,"Ask a loved one if they prefer to receive love through gifts, quality time, words of affirmation, acts of service, or physical touch.","Based on their answer, think about what you might do to show them love, that would be appropriate to your relationship.",Do something to show them love in their love language.,Anxiety,Love,relationships,Loving,Affection,,loving,connected,"Gary Chapman, The Five Love Languages",600+,No,Together
166,Forgive and Release,"Create a private, sacred space for yourself. Then name aloud how you have been hurt. Confess any ways in which you may have misstepped. Then, recount where the person who hurt you misstepped.","For a moment, be with your hurt. Acknowledge how the situation made you feel, and gently resolve to free yourself from this hurt. Consider how you may behave differently in the future, or how you might adjust your relationship with the person involved. ","See if you can feel into a sense of release. Consider your hopes for the wrong-doer for their other relationships, and send them well wishes of making better decisions in the future. ",Pain,Compassion,emotions,"Frustrated, Stressed, Sad",Magnanimous,judaism,sad,forgiving,Judaism,3600+,No,"Alone, Together"
167,Keep Confidence,Promise yourself that you will be a trustworthy confidante.,"The next time you are tempted to share someone’s secret, remember this promise.",Notice how it feels to be trustworthy.,Guilt,Compassion,emotions,"Worried, Insecure, Lonely",Trusted,,self_critical,confident,Various traditions,60,Yes,Alone
168,Neighborhood Cleanup,"The next time you notice something that needs to be done in your neighborhood, ask yourself, is this something I could do?","If so, take action to get it done.",Notice and remember how you feel afterward .,Guilt,Compassion,emotions,"Bored, Motivated, Inspired",Dignity,,bored,motivated,Various traditions,300+,Yes,"Alone, Together"
170,Practice a Virtue,"At the beginning of the week, choose a virtue to focus on.",Bring your virtue into your awareness throughout each day.,Notice how you act differently because of it.,Anxiety,Contentment,presence,"Bored, Motivated, Inspired",Grounded,judaism,motivated,confident,Mussar Movement,60,Yes,Alone
171,Ask What’s Yours,"When conflict or tension arises in a group, ask yourself internally, “What is mine to do?”",Take a breath and listen to your internal wisdom.,Take the action that is yours to take.,Anxiety,Compassion,presence,"Insecure, Worried, Stressed",Empowered,,worried,confident,,120+,Yes,Alone
172,Share What You’re Thankful For,"At the start of a meal, share one thing you’re thankful for.","You could share something positive that happened in your day, gratitude for the food you’re about to eat, thanks for the company you're with, or something else that you feel appreciation for. ","Invite any others dining with you to do the same. If you’re eating alone, see if you can name three things you’re thankful for. ",Sadness,Gratitude,meaning,"Sad, Tired, Stressed",Conscious,,tired,grateful,Various traditions,300,Yes,"Alone, Together"
173,Consider Another’s Story,Notice if you’re telling yourself a story about why someone is behaving a certain way.,"Approach them and say, “The story I’m telling myself is...”","Listen to their response, take it in, and notice how it may differ from your story.",Anger,Compassion,emotions,"Frustrated, Worried, Sad",Clarity,,frustrated,accepting,Brené Brown ,180+,Yes,Together
174,Encourage a Friend,Notice the next time you hear a friend say something negative about themself,"Interrupt them and say, “Don’t talk about my friend ___________ that way!” (with their name on the line)",Notice their reaction and see if this interruption can inspire them to feel self-compassion. ,Sadness,Compassion,relationships,Loving,Attentive,,loving,compassionate,,60,Yes,Together
175,Kiss in the Morning,Physical contact is one of the best ways to keep feeling close with those we love.,"After waking up, turn to your partner and give them a kiss.","Ensure to do this every day, even when leaving very early in the morning.",Sadness,Love,relationships,"Stressed, Sad, Loving",Romantic,,loving,connected,,10,No,Together
176,Laugh Daily,"Identify a person you regularly see in your daily life. This could be a partner, child, roommate, or colleague.","The next time you’re with them, carve out time to laugh. Make a funny face, tell a joke or funny memory, tickle, or even fake laugh until you really do laugh together.","Start to notice how often you share a laugh. If you notice by the end of the day that you haven’t shared a laugh together, make an effort to giggle or smile together before you go to bed.",Sadness,Amusement,relationships,"Frustrated, Worried, Stressed, Tired, Sad",Mirth,,stressed,joyful,,30,No,Together
177,Mirror Phrases,"When in conflict with a partner or colleague, try to mirror back what you hear them saying.",You can use phrases like “What I’m hearing you say is _____” and “Am I right that you feel ______?” before saying back the words you’ve heard.,"Careful not to insert your own emotions or reactions until the other person has affirmed that you’ve accurately mirrored their words back to them. This practice can make the other person feel seen and heard, while also giving you the opportunity to slow down and ensure you understand. ",Anger,Interest,relationships,"Frustrated, Sad",Thoughtful,psychology,frustrated,connected,Psychology,600+,Yes,Together
178,Share a Superpower,Think of someone in your life who might benefit from hearing a few kind words from you.,"Reflect on what might be their superpower. It might be obvious, or a quiet presence. Choose some good words to describe their gift.","Either in-person, or in a short note, tell them how you experience their superpower and why it matters to you.",Sadness,Compassion,relationships,"Inspired, Loving",Generous,,loving,connected,Vocational call,180,Yes,"Alone (via writing), Together"
179,Decorate Goodbye Ribbons,"If moving away, invite loved ones to gather to celebrate your time together.","Cut different colors of ribbon, about a foot long and buy a thick piece of cord. (A curtain cord is ideal.)","Invite loved ones to write messages on, or decorate, the ribbons and to tie it to the cord. When you leave, you can take the cord with you as a reminder of their love.",Sadness,Love,relationships,"Sad, Lonely, Loving",Honoring,,sad,grateful,Rituals of departure,Half a day,No,Together
180,Connect With Your Pet,Put away your phone and other distractions. Prepare to take a few minutes to be wholly present with your pet.,"Bring yourself as close as you can to their height, and look into their eyes if possible.","For the next few minutes, follow your pet’s lead. Let yourself connect at a deeper level with your own animal nature as you follow your pet’s lead.",Anxiety,Love,relationships,"Stressed, Lonely, Sad, Bored",Affection,christianity,stressed,connected,St Francis of Assisi,60,No,Together
181,Share Silence,Invite your friends to take a breath together and sit in silence for a few minutes after catching up. Explain this is simply to enjoy the experience of being together.,"Perhaps use a timer on your phone, so you don’t have to check your watch. ",Simply enjoy the experience of being held by a deeper silence as you are quiet together.,Anxiety,Contentment,relationships,"Stressed, Sad, Relaxed",Serene,christianity,stressed,grateful,Quakers,120,Yes,Together
182,Notice Internal Prejudice,"Notice when you make a judgment about people with different racial or religious backgrounds, or other markers of difference.",Be compassionate with yourself as you explore what assumptions you might be making.,"Name the assumption and say to yourself, “Here’s something I can work with. How can I unlearn this internalized prejudice?” ",Shame,Compassion,presence,"self_critical, Insecure",Whole,,self_critical,accepting,Racial Justice and Healing work,60,Yes,Alone
183,Take a Grief Walk,Make a list of the places your loved one enjoyed spending time that are within walking distance.,"Either alone, or with others, walk from one place to another.","At each location, spend some time telling stories or remembering what they used to do in this place. How did it shape the person they became?",Grief,Love,emotions,"Sad, Lonely",Revitalized,christianity,sad,accepting,Catholic - Stations of the cross,7200,No,Alone or Together
184,Listen to Your Favorite Song,Listen to your favorite song.,Think about how the song makes you feel.,Try to notice every element that went into making it.,Sadness,Gratitude,creativity,"Sad, Stressed, Bored, Happy, Relaxed",Refreshed,,curious,joyful,,300,Yes,Alone
185,Listen to Another Culture’s Music,"Listen to a song from a different culture, ideally one that you are unfamiliar with.","Consider how the different aspects of the song (rhythms, melodies, instruments) compare to music from your culture.",What aspects of the song do you enjoy? Which aspects are less compelling to you?,Boredom,Interest,creativity,"Bored, Curious, Inspired",Moved,,curious,in awe,,300,Yes,Alone
186,Listen to Music From Cherished Memories,Call to mind a song that brings back happy memories or reminds you of a time that you cherish. ,"Play the song, and let your mind take you back to the time that it evokes.","Reflect on how you felt in the memory, and see if the song can bring you back to those sweet feelings. ",Sadness,Love,creativity,"Sad, Stressed, Bored, Happy, Relaxed",Reflective,,curious,joyful,,300,Yes,Alone
187,Listen to Childhood Favorites,"Listen to a song you liked during your childhood, preferably one that you haven’t listening to in a long time.",Think about what you might have learned from the song.,Think about how that lesson has impacted your life.,Anxiety,Gratitude,creativity,"Sad, Stressed, Bored, Happy, Relaxed",Nostalgic,,stressed,inspired,,300,Yes,Alone
188,Listen to Different Music Genres,Listen to a song of a different genre.,Focus on the message that the artist is trying to convey.,What intention is behind every one of the song’s elements?,Sadness,Interest,creativity,"Bored, Curious, Inspired",Creative,,curious,in awe,,300,Yes,Alone
189,Breathe to the Rhythm,"Find a relaxing song to listen to, preferably with a tempo/speed of around 90 beats per minute",Place your hand over your heart,Breathe to the rhythm of the song,Anxiety,Contentment,creativity,"Stressed, Worried, Frustrated",Serene,,stressed,balanced,,300,Yes,Alone
190,Listen to Loving Music,Listen to a song that reminds you of a loved one.,Why does this remind you of that person?,How does this song reflect who they are?,Anxiety,Love,creativity,"Sad, Stressed, Bored, Loving",Closeness,,loving,connected,,300,Yes,Alone
191,Congratulate Someone,Think of a recent success or milestone of someone close to you,What has their journey been to get where they are?,Call / message them to congratulate them and express your joy.,Anxiety,Love,relationships,"Lonely, Loving",Purposeful,,loving,joyful,,120,Yes,Alone
192,Write a Letter of Gratitude,Think about someone who did something for you for which you are extremely grateful but to whom you never expressed your deep gratitude. Try to pick someone who is still alive and could meet you face-to-face with. ,"Spend 5 minutes writing a letter guided by the following steps: 1) Write as though you are addressing this person directly (“Dear ______”) 2) Describe in specific terms what this person did, why you are grateful to this person, and how this person’s behavior affected your life. Try to be as concrete as possible. 3) Describe what you are doing in your life now and how you often remember his or her efforts.",Deliver your letter in whichever way is feasible.,Sadness,Gratitude,relationships,"Lonely, Loving",Appreciation,psychology,loving,grateful,"GGIA
 Sonja Lyubomirsky, Ph.D., University of California, Riverside
 Kristin Layous, Ph.D., Stanford University
 Martin Seligman, Ph.D., University of Pennsylvania",300,Yes,Alone
193,Write Down Three Good Things,Think about someone you appreciate in your life.,Write down three good things about the relationship and provide an explanation for why they are good. ,It is important to create a physical record of your items by writing them down; it is not enough simply to do this exercise in your head.,Anger,Love,relationships,"Lonely, Frustrated, Loving",Insight,psychology,loving,grateful,"GGIA
 Jeffrey Huffman, M.D., Harvard Medical School, Massachusetts General Hospital
 Sonja Lyubomirsky, Ph.D., University of California, Riverside",180,Yes,Alone
194,Think of a Positive Moment,Think of someone special to you.,Take a minute to recall and reflect on a positive moment you shared with them.,"Appreciate them by saying quietly to yourself, “Thank you ______ for the gift of your friendship”.",Anxiety,Gratitude,relationships,"Lonely, Frustrated, Loving",Cherishing,psychology,loving,grateful,Science of emotion/happiness,60,Yes,Anywhere
195,Focus on Helpfulness,Take a minute to recall a time someone in your life helped you.,Reflect why they helped you.,"Appreciate them by saying quietly to yourself, “Thank you ______ for your gift”.",Sadness,Gratitude,relationships,"Lonely, Frustrated, Loving",Cherishing,psychology,lonely,connected,Science of Happiness,60,Yes,Anywhere
196,Write a Message of Gratitude,Think about someone who did something for you for which you are extremely grateful but to whom you never expressed your deep gratitude. ,"Spend a few minutes writing a short message of gratitude. Describe in specific terms what this person did, why you are grateful to this person, and how this person’s behavior affected your life.",Try to deliver this message in whichever way is feasible.,Sadness,Gratitude,relationships,"Lonely, Loving",Cherishing,psychology,lonely,connected,"GGIA
 Sonja Lyubomirsky, Ph.D., University of California, Riverside
 Kristin Layous, Ph.D., Stanford University
 Martin Seligman, Ph.D., University of Pennsylvania",180,Yes,Alone
197,Be Grateful for Someone,Think about someone you are grateful for in your life.,Write down three things that you are grateful for about the relationship and provide an explanation for why. It is important to create a physical record of your items by writing them down; it is not enough simply to do this exercise in your head.,Recognize that these things exist within you as well.,Sadness,Gratitude,relationships,"Lonely, Frustrated, Loving",Cherishing,psychology,loving,grateful,"GGIA
 Sonja Lyubomirsky, Ph.D., University of California, Riverside
 Kristin Layous, Ph.D., Stanford University
 Martin Seligman, Ph.D., University of Pennsylvania",180,Yes,Alone
198,Perform an Act of Kindness,Think about someone in your life you appreciate. ,"Perform a random act of kindness for them. It doesn’t matter if the act is big or small, for example providing a meal or helping a with a chore. ","After, write down what you did and how it made you feel.",Sadness,Love,relationships,"Lonely, Loving",Appreciative,psychology,loving,connected,"GGIA 
 Science of Happiness
 Sonja Lyubomirsky, Ph.D., University of California, Riverside",300,No,Alone
199,Nurture Your Bravery,"Acknowledge that it can be hard to feel “brave,” or to remember that you’re brave. ",Recall a time recently when you were brave. What you choose can be really small and simple.,"Remind yourself that you are brave—in small moments, in larger ones, in the past, and today. ",Fear,Compassion,emotions,"Insecure, self_critical, Sad, Lonely",Capable,,insecure,Confident,,60,Yes,Alone
